video_id,titulo,data,visualizacoes,curtidas,comentarios,duracao,perfil
u94NhKXoTDI,PanCristal mostra a força da indústria no interior de Pernambuco 💛,2026-05-09T17:07:41Z,3231,367,25,PT1M37S,joao_campos
wilH75K29rA,"Pense num combustível que isso dá pra gente seguir na caminhada! Valeu, Surubim!",2026-05-09T15:50:58Z,4343,425,16,PT54S,joao_campos
DZQmSfYvx4c,"Bora, Vitinho Maia, vem jogar junto com o nosso time! 🏆 #PEpraFrente",2026-05-09T00:10:26Z,5841,542,18,PT1M4S,joao_campos
hJxsaKBJW20,"Em Santa Cruz, roupa velha vira móvel e inovação 💛",2026-05-08T21:41:43Z,3321,366,12,PT1M14S,joao_campos
pg_vUt5G00w,"Se Pernambuco é o centro do mundo, então merece um Centro de Convenções pra moda que a gente faz",2026-05-08T21:13:30Z,3710,453,18,PT1M39S,joao_campos
NI3z1i60_sU,"Valeu pelo carinho, Santa Cruz do Capibaribe!",2026-05-08T16:28:28Z,11521,878,32,PT1M10S,joao_campos
l7D16tpKiZw,Começando o dia em Santa Cruz do Capibaribe com uma presente arretas de Seu Osiel!,2026-05-08T12:32:16Z,5578,254,11,PT11S,joao_campos
TkFg8A2-_Ic,É ponte pra todo lado no Recife! 💪,2026-05-07T19:06:57Z,6248,600,28,PT53S,joao_campos
w6Uh8G1VBDo,Tivemos uma reunião importante com a ministra da Casa Civil para tratar das chuvas no Recife,2026-05-05T03:17:53Z,22678,1486,44,PT1M2S,joao_campos
isfjMzImzdc,O Hospital de Amor de Garanhuns chega pra revolucionar o tratamento de câncer no agreste,2026-04-30T21:04:18Z,7826,808,30,PT1M14S,joao_campos
5ryzDnx8dO0,Estamos levando os exames de ultrassom pra mais perto da casa dos recifenses,2026-04-01T01:31:25Z,4326,474,20,PT1M30S,joao_campos
guo4QKOSCGc,Ladeira da Cohab entra na reta final e vai transformar o acesso ao Ibura 💛,2026-03-24T15:57:21Z,15366,1058,50,PT1M31S,joao_campos
10J8vuEoxWk,A acessibilidade chegou na casa de Oliver junto com um quarto gamer,2026-03-13T19:49:10Z,5813,611,11,PT1M52S,joao_campos
AxGp5J1_DZw,Vê só como tá ficando a segunda etapa do Parque Eduardo Campos,2026-03-07T15:56:48Z,7044,699,32,PT46S,joao_campos
QBW6OP4Xg8E,Domingo de Carnaval repleto de gente no Marco Zero!,2026-02-16T06:01:43Z,23455,1062,18,PT49S,joao_campos
vZREl-1uqPM,Avança o combate aos alagamentos na imbiribeira,2026-01-29T17:32:03Z,8633,812,40,PT2M3S,joao_campos
5g2aBIkLrJM,O Agente Secreto e a força do cinema do Recife!,2026-01-14T17:33:12Z,6726,758,25,PT1M31S,joao_campos
RLOe-X_4jMk,"Hoje começa a maior Virada do Nordeste, a Virada Recife 2026!",2025-12-27T12:40:03Z,9847,1127,36,PT49S,joao_campos
uRdjgqJd1qw,"A gente segue subindo, olhando pra frente, com fé no futuro e prontos para muito mais. 💪",2025-12-25T19:14:12Z,4111,355,8,PT31S,joao_campos
J-iUXmQc5O8,Vistoria da estrutura para a Virada Recife 2026,2025-12-23T20:37:18Z,9015,795,15,PT1M8S,joao_campos
SA4_irRPfUI,Concerto natalino no Recife Antigo,2025-12-14T23:17:21Z,3525,478,9,PT46S,joao_campos
wbASbNxVV2o,Kauan pediu pra dar um grau na quadra pra bola não cair no vizinho,2025-11-23T16:36:30Z,3773,301,9,PT1M11S,joao_campos
RB9h43Be768,Compromisso firmado: exame garantido no Hospital da Criança do Recife 💛🏥,2025-11-19T11:35:26Z,5028,369,13,PT1M8S,joao_campos
ZgjGe85ubcA,Recife inicia segunda etapa do Parque da Tamarineira 🌿✨,2025-11-13T17:19:33Z,4927,426,19,PT1M4S,joao_campos
YBfUYJtmgTE,Recife na abertura da COP-30,2025-11-10T14:45:22Z,4541,585,23,PT59S,joao_campos
YwyQE19SNAE,Escola requalificada e com nova sede na Tamarineira,2025-10-29T18:23:30Z,3812,380,15,PT41S,joao_campos
eEq8-DGsiDs,Mandamos para a Câmara dois projetos de lei para avançar com o plano de reabitar o centro do Recife,2025-10-29T01:55:50Z,4249,447,17,PT1M20S,joao_campos
-w8wyMeaF8s,Bolsas de mestrado em universidades de excelência internacional para servidores municipais do Recife,2025-10-21T03:48:37Z,2081,252,11,PT58S,joao_campos
96EraFcy8fE,"Merenda, além de nutritiva, tem que ser saborosa. Criança bem alimentada e feliz aprende melhor!",2025-10-13T19:48:31Z,4030,456,15,PT1M4S,joao_campos
FDQptr7NcS4,Sextou com entrega de obra na Linha do Tiro!,2025-10-11T00:55:49Z,3140,320,10,PT1M1S,joao_campos
iwPn56HeaB8,Novo CAPSi 24h no Jordão vai garantir acolhimento e cuidado pra adolescentes do Recife 💙,2025-10-08T14:19:30Z,3866,370,15,PT42S,joao_campos
j-XLCBNWjq8,Parceria e trabalho em Dois Unidos,2025-10-05T18:43:10Z,5129,390,18,PT43S,joao_campos
ApGtFj3wRPM,Já visse como nasce uma viga de ponte?,2025-09-22T12:30:03Z,3986,258,7,PT1M6S,joao_campos
TbphKNmfvuE,🎬 “O Último Azul” no Teatro do Parque: sessão especial com Gabriel Mascaro!,2025-08-07T17:58:24Z,2208,152,7,PT31S,joao_campos
TnO0FWOQflY,De palafita a parque: nova paisagem no Rio Pina! 🌊💛,2025-06-26T20:42:56Z,5114,379,16,PT1M19S,joao_campos
dRS-8bjUjnk,"A comunidade às margens do Tejipió ganhou praças, brinquedos, arte urbana, calçadão e horta",2025-05-25T13:43:40Z,3905,248,12,PT40S,joao_campos
-inyjCq3Pnw,O Recife entrou em atenção pelas chuvas intensas e as equipes da prefeitura estão mobilizadas,2025-05-15T00:51:24Z,9779,522,37,PT1M14S,joao_campos
